UID          PID    PPID  C STIME TTY          TIME CMD
root     1004283    1242  0 Nov15 ?        00:00:07 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 42ac4c47098c2a60890c48eab03ea9fd852882571d6b6d38940213d72ca39664 -address /run/containerd/containerd.sock
root     1004304 1004283  0 Nov15 ?        00:00:04 /one-mcp
root     1004470 1004304  0 Nov15 ?        00:00:06 npm exec @wordbricks/fetch-mcp
root     1007536 1004470  0 Nov15 ?        00:00:00 node /root/.npm/_npx/e0f3f30cc48938e4/node_modules/.bin/fetch-mcp
root     1327905    1242  0 12:12 ?        00:00:02 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id e46ce7898ded6203e82fe93b226a0e24a34edb2c3bf7ce0c53913c9eb0d2a4a6 -address /run/containerd/containerd.sock
root     1327924 1327905  0 12:12 ?        00:00:00 /bin/sh /entrypoint.sh
root     1327972 1327924  1 12:12 ?        00:08:03 /usr/local/bin/mihomo -d /etc/mihomo
root     1328032    1242  0 12:12 ?        00:00:06 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 2aa1cd4ecb4e87feb1fbceaaf405c0593e82ee982390b69f90b565f7cb152f98 -address /run/containerd/containerd.sock
root     1328051 1328032  0 12:12 ?        00:00:01 /lzcinit/com.lxy.app.clash -listen :80 -grpc_listen :81
root     1560300    1242  0 17:04 ?        00:00:01 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 3e8a45dd32d588dc9d3e4408c7e7c099e4aafc947cda7208733589c600ec0f54 -address /run/containerd/containerd.sock
root     1560320 1560300  0 17:04 ?        00:00:00 /lzcapp/pkg/content/lzc-lan-forward
root     1560386    1242  0 17:04 ?        00:00:02 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 6d6ebdc51570dbc70fe8f4af2cf2ed39e542337199fae3a46d9ca0ca65ed1e66 -address /run/containerd/containerd.sock
root     1560439 1560386  0 17:04 ?        00:00:00 /lzcinit/cloud.lazycat.app.forward -listen :80 -grpc_listen :81
root     1713389    1242  0 17:14 ?        00:00:00 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id ac3482f35b35a795c8fea00acad2d86a7e936b1c7bf7c1b32787504952195180 -address /run/containerd/containerd.sock
root     1713408 1713389  0 17:14 ?        00:00:06 /dozzle
root     1713613    1242  0 17:14 ?        00:00:00 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 06547fa1b0ca770176c77b60254c4655dcd84fdec48da88b2a0c79540b3bbe17 -address /run/containerd/containerd.sock
root     1713633 1713613  0 17:14 ?        00:00:00 registry serve /etc/docker/registry/config.yml
root     1713702    1242  0 17:14 ?        00:00:02 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 9f8877ce6f9cc3e33d51589b5ce64228c12874c6f4289ffbbf1091dd8c02264d -address /run/containerd/containerd.sock
root     1713723 1713702  0 17:14 ?        00:00:00 /lzcinit/cloud.lazycat.developer.tools -listen :80 -grpc_listen :81
root     1713911 1713723  0 17:14 ?        00:00:00 sshd: /usr/sbin/sshd -D -e -f /lzcapp/pkg/content/config/sshd_config [listener] 0 of 10-100 startups
root     1713943 1713723  0 17:14 ?        00:00:00 /lzcapp/pkg/content/debug.bridge forward-rsync
root     1713944 1713723  0 17:14 ?        00:00:02 /lzcapp/pkg/content/debug.bridge server
root     1714223    1242  0 17:14 ?        00:00:00 /usr/bin/containerd-shim-runc-v2 -namespace lzc-docker -id 81dfe4fd2362ca26714bf84c6f7d3b3acfc4406664acf24556bcca53db24cd22 -address /run/containerd/containerd.sock
root     1714242 1714223  0 17:14 ?        00:00:00 nginx: master process nginx -g daemon off;
sshd     1714598 1714242  0 17:14 ?        00:00:00 nginx: worker process
root     1715036 1713911  0 17:14 ?        00:00:00 rsync --daemon --no-detach --config=/lzcapp/pkg/content/config/rsyncd.conf
dnsmasq  2014272   15237  0 12:58 ?        00:00:00 postgres: postgres postgres 172.28.0.199(41088) idle
