Module                  Size  Used by
usb_common             20480  4 xhci_hcd,usbcore,ehci_hcd,uhci_hcd
ahci                   49152  2
libahci                61440  1 ahci
libata                475136  4 ata_piix,libahci,ahci,ata_generic
scsi_mod              327680  7 sd_mod,scsi_transport_iscsi,usb_storage,uas,libata,sg,sr_mod
scsi_common            16384  7 scsi_mod,sd_mod,usb_storage,uas,libata,sg,sr_mod
9pnet_virtio           20480  0
9pnet                 114688  2 9p,9pnet_virtio
virtio_pci             28672  0
virtio_pci_modern_dev    20480  1 virtio_pci
virtio_pci_legacy_dev    16384  1 virtio_pci
virtio                 20480  3 9pnet_virtio,virtio_pci,virtio_blk
virtio_ring            53248  3 9pnet_virtio,virtio_pci,virtio_blk

real	0m0.011s
user	0m0.007s
sys	0m0.004s
