
活动连接

  协议  本地地址          外部地址        状态
  TCP    127.0.0.1:5037         127.0.0.1:9476         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9477         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9484         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9485         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9496         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9497         TIME_WAIT
  TCP    127.0.0.1:5263         127.0.0.1:5264         ESTABLISHED
  TCP    127.0.0.1:5264         127.0.0.1:5263         ESTABLISHED
  TCP    127.0.0.1:5265         127.0.0.1:5266         ESTABLISHED
  TCP    127.0.0.1:5266         127.0.0.1:5265         ESTABLISHED
  TCP    127.0.0.1:5267         127.0.0.1:5555         ESTABLISHED
  TCP    127.0.0.1:5275         127.0.0.1:5354         ESTABLISHED
  TCP    127.0.0.1:5278         127.0.0.1:5354         ESTABLISHED
  TCP    127.0.0.1:5280         127.0.0.1:5354         ESTABLISHED
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5354         127.0.0.1:1552         ESTABLISHED
  TCP    127.0.0.1:5354         127.0.0.1:1553         ESTABLISHED
  TCP    127.0.0.1:5354         127.0.0.1:5275         ESTABLISHED
  TCP    127.0.0.1:5354         127.0.0.1:5278         ESTABLISHED
  TCP    127.0.0.1:5354         127.0.0.1:5280         ESTABLISHED
  TCP    127.0.0.1:5555         127.0.0.1:5267         ESTABLISHED
  TCP    127.0.0.1:6836         127.0.0.1:1168         ESTABLISHED
  TCP    127.0.0.1:6837         127.0.0.1:1168         ESTABLISHED
  TCP    127.0.0.1:7030         127.0.0.1:1168         TIME_WAIT
  TCP    127.0.0.1:7100         127.0.0.1:1168         ESTABLISHED
  TCP    127.0.0.1:7120         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7121         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7122         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7123         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7124         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:7129         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7131         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7132         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7133         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7134         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7135         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:7138         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7139         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7140         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7141         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7142         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7143         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:7146         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7147         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7149         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7150         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7151         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:7152         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:9197         127.0.0.1:7148         TIME_WAIT
  TCP    127.0.0.1:9345         127.0.0.1:1168         TIME_WAIT
  TCP    127.0.0.1:9346         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9347         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9348         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9349         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:9352         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9372         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9374         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9379         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9380         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9381         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:9384         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9385         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9386         127.0.0.1:1168         TIME_WAIT
  TCP    127.0.0.1:9387         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9388         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9389         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9390         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:9394         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9398         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9400         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9401         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9402         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9404         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:9407         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9411         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9422         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9424         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9425         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9426         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:9430         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9432         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9433         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9438         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9456         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9457         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:9469         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9470         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9471         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9473         127.0.0.1:1162         TIME_WAIT
