lzc-recovery  | 2025-11-14T15:44:35.821333000Z 2025-11-14T23:44:35.821+0800	INFO	status	boxStatus/index.go:201	box status changed: 
hext          | 2025-11-15T11:26:15.222297000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:35.821390000Z 2025-11-14T23:44:35.821+0800	INFO	status	boxStatus/status.go:32	:
hext          | 2025-11-15T11:26:20.233843000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:35.821429000Z {
hext          | 2025-11-15T12:25:20.237639000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:35.821463000Z   "dataPartition": "Ok",
hext          | 2025-11-15T12:25:20.238329000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:35.821487000Z   "hportalInitialized": true,
hext          | 2025-11-15T12:25:25.245586000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:35.821513000Z   "startupStatus": {
hext          | 2025-11-15T13:24:25.293682000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:35.821539000Z     "status": "STARTING",
hext          | 2025-11-15T13:24:25.294360000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:35.821569000Z     "exception": "Ok",
hext          | 2025-11-15T13:24:30.308144000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:35.821602000Z     "exceptionData": "disk is mounted, wait sspk recovery to healthy"
hext          | 2025-11-15T14:23:30.308725000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:35.821626000Z   },
hext          | 2025-11-15T14:23:30.310646000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:35.821667000Z   "shutdownReason": 0
hext          | 2025-11-15T14:23:35.323900000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:35.821696000Z }
lzc-recovery  | 2025-11-14T15:44:35.821720000Z 2025-11-14T23:44:35.821+0800	INFO	status	boxStatus/status.go:38	box system status:
hext          | 2025-11-15T15:22:35.324195000Z time's up, re-establishing port mapping...
hext          | 2025-11-15T15:22:35.324706000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:35.821751000Z {}
hext          | 2025-11-15T15:22:40.331036000Z failed to establish mapping: no nat discovered
